10:47:06.478 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - maven
10:47:06.480 [ApplicationImpl pooled thread 9] INFO  com.browserstack.utils.Helpers - null
10:48:13.607 [ApplicationImpl pooled thread 8] INFO  c.b.l.BrowserStackRunExtension - testng
10:48:13.607 [ApplicationImpl pooled thread 8] INFO  com.browserstack.utils.Helpers - null
10:48:13.611 [ApplicationImpl pooled thread 8] INFO  com.browserstack.utils.Helpers - C:/Users/chodavarapudorababu/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
10:48:13.611 [ApplicationImpl pooled thread 8] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/chodavarapudorababu/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
10:48:13.612 [ApplicationImpl pooled thread 8] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:48:13.612 [ApplicationImpl pooled thread 8] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
10:48:53.047 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - testng
10:48:53.047 [ApplicationImpl pooled thread 9] INFO  com.browserstack.utils.Helpers - null
10:48:53.048 [ApplicationImpl pooled thread 9] INFO  com.browserstack.utils.Helpers - C:/Users/chodavarapudorababu/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
10:48:53.048 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - Agent path: C:/Users/chodavarapudorababu/.m2/repository/com/browserstack/browserstack-java-sdk/1.29.0/browserstack-java-sdk-1.29.0.jar
10:48:53.048 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - Adding Browserstack SDK javaagent argline
10:48:53.048 [ApplicationImpl pooled thread 9] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.6
